Country,GDP,Total_Population,Population_Lack_Access_Safe_Water
Nicaragua,"9,635,568,028","5,905,146","1,137,740"
Niger,"6,411,842,066","16,511,462","1,770,200"
Nigeria,"245,682,418,219","164,192,925","63,858,333"
Northern Mariana Islands,"733,000,000","53,230","1,597"
Norway,"491,064,821,429","4,953,088",0
Oman,"69,971,912,138","3,024,774","373,379"
Pakistan,"213,853,864,894","176,166,353","11,512,633"
Palau,"212,903,320","20,606","2,525"
Panama,"31,315,800,000","3,740,282","421,593"
Papua New Guinea,"12,393,604,089","7,012,977","1,262,422"
Paraguay,"26,007,966,687","6,573,097","1,408,522"
Peru,"181,011,064,727","29,614,887","8,384,271"
Philippines,"224,095,219,329","95,053,437","7,118,415"
Poland,"515,666,869,137","38,534,157","23,465,298"
Portugal,"237,675,277,778","10,556,999",0
Qatar,"171,476,093,959","1,910,902",0
Romania,"189,775,739,203","21,384,832","2,811,845"
Russian Federation,"1,899,085,300,762","142,960,000","8,817,355"
Rwanda,"6,354,119,344","11,144,315","2,527,162"
Samoa,"630,129,114","187,429","5,250"
Sao Tome and Principe,"248,286,778","183,177","7,570"
Saudi Arabia,"669,506,666,667","27,761,728","832,852"
Senegal,"14,440,676,498","13,330,737","2,862,153"
Serbia,"43,291,846,196","7,258,745","40,924"
Seychelles,"1,074,584,860","87,441","3,498"
Sierra Leone,"2,938,747,215","5,865,491","1,951,598"
Singapore,"245,024,318,394","5,183,700","5,183,700"
Slovak Republic,"95,877,536,836","5,398,384",0
Slovenia,"50,250,208,507","2,052,843","10,250"
Solomon Islands,"866,672,433","537,997","56,373"
Somalia,"1,306,000,000","9,907,903","5,576,033"
South Africa,"401,802,218,556","50,586,757","6,777,290"
South Sudan,"19,145,887,852","10,381,110","3,990,949"
Spain,"1,453,231,944,444","46,174,601",0
Sri Lanka,"59,184,308,583","20,869,000","429,661"
St. Kitts and Nevis,"699,130,560","52,971","1,059"
St. Lucia,"1,259,078,382","179,271","5,167"
St. Vincent and the Grenadines,"687,993,793","109,357","5,468"
Sudan,"63,997,129,027","36,430,923","14,323,776"
Suriname,"4,363,219,094","529,761","74,991"
Swaziland,"3,969,078,027","1,212,159","151,920"
Sweden,"536,293,220,339","9,449,213",0
Switzerland,"657,417,830,724","7,912,398",0
Syrian Arab Republic,"46,540,000,000","21,961,676","2,276,134"
Tajikistan,"6,522,590,721","7,814,850","1,351,492"
Tanzania,"23,874,165,047","46,354,607","14,073,184"
Thailand,"345,672,232,116","66,576,332","2,451,479"
Timor-Leste,"1,128,300,000","1,175,880","192,300"
Togo,"3,685,781,120","6,472,304","1,877,615"
Tonga,"423,038,017","104,554","1,046"
